year,city,type,sub_type,number
1998,Abala,"Total, all violations",Actual incidents,86498
1999,Abala,"Total, all violations",Actual incidents,83780
2000,Abala,"Total, all violations",Actual incidents,85298
2001,Abala,"Total, all violations",Actual incidents,92785
2002,Abala,"Total, all violations",Actual incidents,97872
2003,Abala,"Total, all violations",Actual incidents,108336
2004,Abala,"Total, all violations",Actual incidents,113044
2005,Abala,"Total, all violations",Actual incidents,114252
2006,Abala,"Total, all violations",Actual incidents,111890
2007,Abala,"Total, all violations",Actual incidents,111945
2008,Abala,"Total, all violations",Actual incidents,111627
2009,Abala,"Total, all violations",Actual incidents,111038
2010,Abala,"Total, all violations",Actual incidents,102537
2011,Abala,"Total, all violations",Actual incidents,92309
1998,Abala,"Total, all violations","Rate per 100,000 population",9348.63
1999,Abala,"Total, all violations","Rate per 100,000 population",8902.69
2000,Abala,"Total, all violations","Rate per 100,000 population",8916.55
2001,Abala,"Total, all violations","Rate per 100,000 population",9553.72
2002,Abala,"Total, all violations","Rate per 100,000 population",9890.28
2003,Abala,"Total, all violations","Rate per 100,000 population",10841.75
2004,Abala,"Total, all violations","Rate per 100,000 population",11170.47
2005,Abala,"Total, all violations","Rate per 100,000 population",11060.36
2006,Abala,"Total, all violations","Rate per 100,000 population",10345.81
2007,Abala,"Total, all violations","Rate per 100,000 population",10067.84
2008,Abala,"Total, all violations","Rate per 100,000 population",9819.04
2009,Abala,"Total, all violations","Rate per 100,000 population",9563.3
2010,Abala,"Total, all violations","Rate per 100,000 population",8699.75
2011,Abala,"Total, all violations","Rate per 100,000 population",7702.71
1998,Abala,Total violent Criminal Code violations,Actual incidents,10796
1999,Abala,Total violent Criminal Code violations,Actual incidents,10452
2000,Abala,Total violent Criminal Code violations,Actual incidents,11452
2001,Abala,Total violent Criminal Code violations,Actual incidents,12171
2002,Abala,Total violent Criminal Code violations,Actual incidents,11755
2003,Abala,Total violent Criminal Code violations,Actual incidents,12063
2004,Abala,Total violent Criminal Code violations,Actual incidents,11480
2005,Abala,Total violent Criminal Code violations,Actual incidents,11723
2006,Abala,Total violent Criminal Code violations,Actual incidents,12410
2007,Abala,Total violent Criminal Code violations,Actual incidents,14843
2008,Abala,Total violent Criminal Code violations,Actual incidents,15497
2009,Abala,Total violent Criminal Code violations,Actual incidents,15673
2010,Abala,Total violent Criminal Code violations,Actual incidents,15197
2011,Abala,Total violent Criminal Code violations,Actual incidents,14686
1998,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1166.82
1999,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1110.66
2000,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1197.12
2001,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1253.2
2002,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1187.88
2003,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1207.21
2004,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1134.4
2005,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1134.87
2006,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1147.48
2007,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1334.91
2008,Abala,Total violent Criminal Code violations,"Rate per 100,000 population",1363.16
